B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 0
B13, 2
B24, Blotteritem, {'type': 'Trade', 'time': 92.08750000001237, 'price': 103, 'party1': 'S20', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 121.78750000001912, 'price': 107.0, 'party1': 'S15', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 134.25000000001484, 'price': 110, 'party1': 'S20', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 159.72499999999167, 'price': 104, 'party1': 'B24', 'party2': 'S12', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 187.54999999996636, 'price': 98, 'party1': 'S16', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 214.6624999999417, 'price': 100.0, 'party1': 'S17', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 258.68749999990166, 'price': 96, 'party1': 'B24', 'party2': 'S18', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 280.23749999988206, 'price': 102.0, 'party1': 'S12', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 327.32499999983924, 'price': 93, 'party1': 'S12', 'party2': 'B24', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 361.27499999980836, 'price': 103, 'party1': 'B24', 'party2': 'S19', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 384.8624999997869, 'price': 107, 'party1': 'B24', 'party2': 'S11', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 394.0749999997785, 'price': 100, 'party1': 'B24', 'party2': 'S17', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 451.3749999997264, 'price': 96, 'party1': 'B24', 'party2': 'S15', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 473.6124999997062, 'price': 99, 'party1': 'B24', 'party2': 'S16', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 491.37499999969003, 'price': 86.0, 'party1': 'B24', 'party2': 'S09', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 529.4749999997348, 'price': 111.0, 'party1': 'B24', 'party2': 'S18', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 570.3124999998834, 'price': 95, 'party1': 'B24', 'party2': 'S14', 'qty': 1}
B24, Blotteritem, {'type': 'Trade', 'time': 584.787499999936, 'price': 105, 'party1': 'B24', 'party2': 'S02', 'qty': 1}
B25, 19
B25, Blotteritem, {'type': 'Trade', 'time': 9.862499999999974, 'price': 108, 'party1': 'B25', 'party2': 'S23', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 49.21250000000263, 'price': 108, 'party1': 'B25', 'party2': 'S14', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 68.21250000000694, 'price': 98, 'party1': 'B25', 'party2': 'S06', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 102.05000000001463, 'price': 93, 'party1': 'S17', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 139.42500000001013, 'price': 106, 'party1': 'B25', 'party2': 'S06', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 182.83749999997065, 'price': 96, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 202.41249999995284, 'price': 97, 'party1': 'B25', 'party2': 'S12', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 218.78749999993795, 'price': 96, 'party1': 'B25', 'party2': 'S08', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 245.82499999991336, 'price': 93, 'party1': 'S14', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 297.4624999998664, 'price': 91, 'party1': 'B25', 'party2': 'S16', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 323.58749999984263, 'price': 93, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 348.5624999998199, 'price': 90, 'party1': 'B25', 'party2': 'S14', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 381.7874999997897, 'price': 103, 'party1': 'B25', 'party2': 'S21', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 412.49999999976177, 'price': 94, 'party1': 'S14', 'party2': 'B25', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 433.06249999974307, 'price': 95, 'party1': 'B25', 'party2': 'S06', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 481.9499999996986, 'price': 95, 'party1': 'B25', 'party2': 'S01', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 516.1374999996863, 'price': 92, 'party1': 'B25', 'party2': 'S12', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 531.9874999997439, 'price': 109, 'party1': 'B25', 'party2': 'S13', 'qty': 1}
B25, Blotteritem, {'type': 'Trade', 'time': 557.7999999998378, 'price': 98, 'party1': 'S02', 'party2': 'B25', 'qty': 1}
B26, 20
B26, Blotteritem, {'type': 'Trade', 'time': 17.824999999999523, 'price': 99, 'party1': 'S19', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 59.28750000000492, 'price': 91, 'party1': 'S03', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 85.1750000000108, 'price': 96, 'party1': 'S03', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 100.42500000001426, 'price': 97, 'party1': 'S00', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 124.3250000000197, 'price': 108.0, 'party1': 'S23', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 166.44999999998555, 'price': 96.0, 'party1': 'S18', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 183.4499999999701, 'price': 103.0, 'party1': 'S21', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 231.89999999992602, 'price': 99, 'party1': 'S15', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 258.57499999990176, 'price': 101, 'party1': 'S20', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 292.5999999998708, 'price': 92, 'party1': 'S02', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 315.11249999985034, 'price': 98, 'party1': 'S19', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 362.1999999998075, 'price': 108.0, 'party1': 'S23', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 381.74999999978974, 'price': 108, 'party1': 'S03', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 399.66249999977344, 'price': 116.0, 'party1': 'B26', 'party2': 'S01', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 440.7249999997361, 'price': 106, 'party1': 'S14', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 481.3249999996992, 'price': 101, 'party1': 'S20', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 500.8374999996814, 'price': 100, 'party1': 'S15', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 512.7374999996739, 'price': 94, 'party1': 'S17', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 552.4999999998186, 'price': 100, 'party1': 'S04', 'party2': 'B26', 'qty': 1}
B26, Blotteritem, {'type': 'Trade', 'time': 587.4124999999456, 'price': 106.0, 'party1': 'S14', 'party2': 'B26', 'qty': 1}
B27, 19
B27, Blotteritem, {'type': 'Trade', 'time': 11.112499999999903, 'price': 99, 'party1': 'B27', 'party2': 'S07', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 46.22500000000195, 'price': 109, 'party1': 'B27', 'party2': 'S07', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 95.05000000001304, 'price': 99, 'party1': 'B27', 'party2': 'S14', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 123.4250000000195, 'price': 105, 'party1': 'B27', 'party2': 'S00', 'qty': 1}
B27, Blotteritem, {'type': 'Trade', 'time': 150.7874999999998, 'price': 102, 'party1': 'B27', 'party2': 'S17', 'qty': 1}
