B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 0
B10, 0
B11, 0
B12, 1
B21, Blotteritem, {'type': 'Trade', 'time': 130.58750000001817, 'price': 88, 'party1': 'S15', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 261.12499999989944, 'price': 100.0, 'party1': 'S13', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 300.7624999998634, 'price': 95, 'party1': 'B21', 'party2': 'S11', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 352.887499999816, 'price': 93.0, 'party1': 'S17', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 410.3499999997637, 'price': 99, 'party1': 'S03', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 433.8874999997423, 'price': 93, 'party1': 'B21', 'party2': 'S00', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 488.5749999996926, 'price': 101, 'party1': 'B21', 'party2': 'S12', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 522.7499999997103, 'price': 96.0, 'party1': 'S18', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 555.0499999998278, 'price': 95, 'party1': 'S11', 'party2': 'B21', 'qty': 1}
B21, Blotteritem, {'type': 'Trade', 'time': 583.8374999999326, 'price': 102, 'party1': 'B21', 'party2': 'S14', 'qty': 1}
B22, 20
B22, Blotteritem, {'type': 'Trade', 'time': 26.274999999999043, 'price': 97, 'party1': 'S10', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 46.75000000000207, 'price': 106.0, 'party1': 'B22', 'party2': 'S21', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 67.1375000000067, 'price': 100, 'party1': 'S07', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 98.52500000001383, 'price': 106.0, 'party1': 'B22', 'party2': 'S18', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 138.30000000001115, 'price': 101.0, 'party1': 'S20', 'party2': 'B22', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 176.87499999997607, 'price': 106.0, 'party1': 'B22', 'party2': 'S01', 'qty': 1}
B22, Blotteritem, {'type': 'Trade', 'time': 208.99999999994685, 'price': 98, 'party1': 'S05', 'party2': 'B22', 'qty': 1}
